Date,Country,State,Lat,Long,Cases,Type
3/17/20,China,,30.9756,112.2707,"80,894",confirmed
3/17/20,Italy,,43,12,"31,506",confirmed
3/17/20,Iran,,32,53,"16,169",confirmed
3/17/20,Spain,,40,-4,"11,826",confirmed
3/17/20,Germany,,51,9,"9,360",confirmed
3/17/20,"Korea, South",,,,"8,413",confirmed
3/17/20,France,,46.2276,2.2137,"7,730",confirmed
3/17/20,Switzerland,,46.8182,8.2275,"2,742",confirmed
3/17/20,United Kingdom,,49.3723,-2.3644,"1,950",confirmed
3/17/20,Netherlands,,52.1326,5.2913,"1,711",confirmed
3/17/20,Norway,,60.472,8.4689,"1,470",confirmed
3/17/20,Austria,,47.5162,14.5501,"1,332",confirmed
3/17/20,Belgium,,50.8333,4,"1,243",confirmed
3/17/20,Sweden,,63,16,"1,196",confirmed
3/17/20,Denmark,,56.2639,9.5018,"1,025",confirmed
3/17/20,Japan,,36,138,878,confirmed
3/17/20,Cruise Ship,,,,712,confirmed
3/17/20,Malaysia,,2.5,112.5,673,confirmed
3/17/20,Canada,,49.2827,-123.1207,598,confirmed
3/17/20,Australia,,-33.8688,151.2093,452,confirmed
3/17/20,Portugal,,39.3999,-8.2245,448,confirmed
3/17/20,Qatar,,25.3548,51.1839,442,confirmed
3/17/20,Czechia,,,,434,confirmed
3/17/20,Greece,,39.0742,21.8243,387,confirmed
3/17/20,Brazil,,-14.235,-51.9253,346,confirmed
3/17/20,Israel,,31,35,324,confirmed
3/17/20,Finland,,64,26,322,confirmed
3/17/20,Ireland,,53.1424,-7.6921,292,confirmed
3/17/20,Slovenia,,46.1512,14.9955,275,confirmed
3/17/20,Singapore,,1.2833,103.8333,266,confirmed
3/17/20,Iceland,,64.9631,-19.0208,247,confirmed
3/17/20,Pakistan,,30.3753,69.3451,247,confirmed
3/17/20,Bahrain,,26.0275,50.55,242,confirmed
3/17/20,Poland,,51.9194,19.1451,238,confirmed
3/17/20,Estonia,,58.5953,25.0136,225,confirmed
3/17/20,Romania,,45.9432,24.9668,222,confirmed
3/17/20,Chile,,-35.6751,-71.543,201,confirmed
