Date,StateCode,State,County,Confirmed,Deaths,Recovered
3/19/2020,PA,Pennsylvania,Adams,1,0,-
3/19/2020,PA,Pennsylvania,Allegheny,16,0,-
3/19/2020,PA,Pennsylvania,Beaver,2,0,-
3/19/2020,PA,Pennsylvania,Berks,1,0,-
3/19/2020,PA,Pennsylvania,Bucks,12,0,-
3/19/2020,PA,Pennsylvania,Chester,10,0,-
3/19/2020,PA,Pennsylvania,Cumberland,11,0,-
3/19/2020,PA,Pennsylvania,Delaware,14,0,-
3/19/2020,PA,Pennsylvania,Lackawanna,2,0,-
3/19/2020,PA,Pennsylvania,Lancaster,2,0,-
3/19/2020,PA,Pennsylvania,Lebanon,1,0,-
3/19/2020,PA,Pennsylvania,Lehigh,1,0,-
3/19/2020,PA,Pennsylvania,Luzerne,1,0,-
3/19/2020,PA,Pennsylvania,Monroe,15,0,-
3/19/2020,PA,Pennsylvania,Montgomery,47,0,-
3/19/2020,PA,Pennsylvania,Northampton,5,1,-
3/19/2020,PA,Pennsylvania,Philadelphia,33,0,-
3/19/2020,PA,Pennsylvania,Pike,3,0,-
3/19/2020,PA,Pennsylvania,Washington,3,0,-
3/19/2020,PA,Pennsylvania,Wayne,1,0,-
3/19/2020,PA,Pennsylvania,Westmoreland,2,0,-
3/19/2020,PA,Pennsylvania,York,2,0,-
3/19/2020,PA,Pennsylvania,Adams,1,0,-
3/19/2020,PA,Pennsylvania,Allegheny,16,0,-
3/19/2020,PA,Pennsylvania,Beaver,2,0,-
3/19/2020,PA,Pennsylvania,Berks,1,0,-
3/19/2020,PA,Pennsylvania,Bucks,12,0,-
3/19/2020,PA,Pennsylvania,Chester,10,0,-
3/19/2020,PA,Pennsylvania,Cumberland,11,0,-
3/19/2020,PA,Pennsylvania,Delaware,14,0,-
3/19/2020,PA,Pennsylvania,Lackawanna,2,0,-
3/19/2020,PA,Pennsylvania,Lancaster,2,0,-
3/19/2020,PA,Pennsylvania,Lebanon,1,0,-
3/19/2020,PA,Pennsylvania,Lehigh,1,0,-
3/19/2020,PA,Pennsylvania,Luzerne,1,0,-
3/19/2020,PA,Pennsylvania,Monroe,15,0,-
3/19/2020,PA,Pennsylvania,Montgomery,47,0,-
3/19/2020,PA,Pennsylvania,Northampton,5,1,-
3/19/2020,PA,Pennsylvania,Philadelphia,33,0,-
